unit,song,artist,gender_of_artist,race_of_lead_artist,length_of_song,current_age,beat_of_song,year_of_song,lyrical_theme,single_or_album,level_of_formality,language_of_song,monthly_listeners,artist_count,explicit_or_clean,awards_won,number_of_songwriters,repetition_of_chorus,number_of_vocalists,number_of_instruments,has_song_been_number_1,does_it_have_music_video,certification_of_song,tempo_of_song,has_song_been_sampled,virality_score_of_song
S173,DJ Khaled,I'm on One,2,1,5,49,3,2011,5,1,4,1,"20,767,987",4,1,1,8,3,4,3,1,1,1,2,1,8
S174,Florence and The Machine,Shake It Out,3,2,4.67,38,3,2011,2,2,2,1,"3,396,323",1,2,1,2,3,1,6,2,1,4,1,1,9
S175,Nicki Minaj,Come on a Cone,1,1,3,42,1,2012,4,2,4,1,"4,602,406",1,1,2,5,2,1,3,2,1,4,1,2,6
S176,Sampha,(No One Knows Me) Like The Piano,2,1,3.67,36,3,2017,5,2,1,1,"18,334,832",1,2,1,1,1,1,1,2,1,4,3,1,7
S177,A Tribe Called Quest,The Space Program,3,1,5.67,54,3,2016,2,2,2,1,"138,059",4,1,2,5,2,3,5,2,1,4,2,2,6
S178,The 1975,The Sound,3,2,4.02,35,3,2016,1,2,2,1,"100,906",4,2,2,4,3,1,4,2,1,2,1,2,8
S179,Rich Kidz ft. Waka Flocka,My Life,3,1,4.33,38,1,2012,4,1,4,1,"17,497,319",2,1,2,3,3,2,3,2,1,4,2,1,4
S180,Sons of Kemet,My Queen Is Harriet Tubman,3,1,5.5,39,1,2018,2,2,1,1,"55,035,037",4,2,2,4,0,4,4,2,1,4,1,1,3
S181,Migos ft.Lil Uzi Vert,Bad and Boujee,3,1,5.67,33,3,2016,4,1,4,1,"4,574,510",4,1,1,5,4,4,3,1,1,1,2,1,10
S182,Beyonce,XO,1,1,3.67,44,3,2013,1,2,2,1,"35,085,142",1,2,2,7,3,1,5,2,1,1,2,1,9
S183,Young M.A,OOOUUU,1,1,3,33,3,2016,5,1,4,1,"1,306,361",1,1,1,2,0,1,3,2,1,1,3,2,9
S184,Frank Ocean,Chanel,2,1,3.5,37,3,2017,2,1,2,1,"15,665,528",1,1,2,2,0,1,4,2,2,4,3,1,8
S185,Sharon Van Etten,Seventeen,1,2,4.33,44,3,2019,2,2,1,1,"1,582,967",1,2,2,2,3,1,4,2,1,4,1,2,7
S186,Skepta,Shutdown,2,1,3,43,1,2015,5,1,4,1,"51,407,100",1,1,1,1,4,1,3,2,1,1,1,1,8
S187,Thom Yorke,Dawn Chorus,2,2,5.33,57,2,2019,2,2,1,1,"388,961,658",1,2,2,1,0,1,3,2,1,4,3,1,5
S188,Future,Incredible,2,1,3.83,41,3,2017,5,2,4,1,"176,551,810",1,1,2,4,3,1,3,2,1,2,2,1,7
S189,"J Balvin, Willy William ft. Beyonce",Mi Gente (Remix),3,3,3.5,39,1,2017,5,1,2,2,"2,002,270",3,2,1,6,3,3,4,1,1,4,1,1,10
S190,Ty Dolla $ign,Paranoid,2,1,3.67,43,3,2013,5,2,4,1,"35,995,048",1,1,2,6,4,1,3,2,1,1,2,1,8
S191,Rico Nasty,Smack a Bitch,1,,2.33,27,2,2018,5,1,4,1,"2,002,270",1,1,1,1,1,1,3,2,1,1,3,2,8
S192,Tame Impala,Feels Like We Only Go Backwards,3,2,3.02,39,3,2012,1,2,2,1,"40,760,025",1,2,1,1,3,1,5,2,1,4,2,1,9
S193,Nilüfer Yanya,Baby Luv,1,5,3.5,29,3,2017,1,1,2,1,"795,833",1,2,2,2,5,1,4,2,1,2,2,2,5
S194,Lil B,Wanton Soup,2,1,3,36,3,2010,5,1,4,1,"2,065,647",1,1,2,1,4,1,3,2,1,4,2,2,8
S195,Cloud Nothings,I'm Not Part of Me,3,2,4,34,1,2014,2,2,2,1,"112,984",4,2,2,4,5,1,4,2,1,4,1,2,6
S196,John Maus,Believer,2,2,6.02,45,3,2011,5,1,1,1,"470,452",1,2,2,1,2,1,4,2,1,4,2,1,4
S197,Icona Pop,I love it,3,2,2.67,38,3,2012,3,1,4,1,"11,727,541",2,1,1,3,5,3,5,1,1,2,1,2,10
S198,DVSN,The Line,3,1,7.5,36,2,2015,1,1,2,1,"1,607,508",2,1,2,3,2,2,5,2,1,4,3,2,6
S199,Stormzy,Big for Your Boots,2,1,3.1,32,1,2017,5,1,4,1,"9,367,735",1,1,1,2,3,1,4,1,1,1,2,2,8
S200,Avicii,Levels,2,2,5.67,28,3,2011,5,1,1,1,"35,692,730",1,2,1,4,1,0,5,2,1,1,1,2,5
